sampleID,popGroup,prob,species,location
FF0468,2,1.00E-05,microphylla,NOCAL
FF0469,2,0.118257,caroliniana,NOCAL
FF0470,2,0.99999,filiculoides,NOCAL
FF0471,2,0.83081,filiculoides,NOCAL
FF0472,2,1.00E-05,microphylla,CENTRAL
FF0473,2,1.00E-05,microphylla,CENTRAL
FF0474,2,1.00E-05,microphylla,CENTRAL
FF0475,2,1.00E-05,microphylla,CENTRAL
FF0476,2,1.00E-05,microphylla,CENTRAL
FF0477,2,1.00E-05,microphylla,CENTRAL
FF0478,2,1.00E-05,microphylla,CENTRAL
FF0479,2,1.00E-05,microphylla,CENTRAL
FF0480,2,1.00E-05,microphylla,CENTRAL
FF0481,2,1.00E-05,microphylla,CENTRAL
FF0482,2,1.00E-05,microphylla,CENTRAL
FF0483,2,1.00E-05,microphylla,CENTRAL
FF0484,2,1.00E-05,microphylla,CENTRAL
FF0485,2,0.009939,microphylla,CENTRAL
FF0486,2,1.00E-05,microphylla,CENTRAL
FF0487,2,0.111576,caroliniana,NOCAL
FF0488,2,0.99999,filiculoides,NOCAL
FF0489,2,0.944484,filiculoides,SOCAL
FF0490,2,0.120019,caroliniana,NONSTATE
FF0491,2,1.00E-05,microphylla,CENTRAL
FF0492,2,0.99999,filiculoides,NOCAL
FF0493,2,0.99999,filiculoides,NOCAL
FF0494,2,0.128436,caroliniana,NOCAL
FF0495,2,0.999962,filiculoides,NOCAL
FF0496,2,0.99999,filiculoides,NOCAL
FF0497,2,0.99999,filiculoides,NOCAL
FF0498,2,0.99999,filiculoides,SOCAL
FF0499,2,0.99999,filiculoides,CENTRAL
FF0500,2,0.022564,microphylla,NOCAL
FF0501,2,0.99999,filiculoides,NEVADA
FF0502,2,0.941164,filiculoides,NEVADA
FF0503,2,0.942864,filiculoides,SOCAL
FF0504,2,0.99999,filiculoides,NOCAL
FF0505,2,0.755455,filiculoides,CENTRAL
FF0506,2,0.99999,filiculoides,SOCAL
FF0507,2,0.99999,filiculoides,SOCAL
FF0508,2,0.111031,caroliniana,NOCAL
FF0509,2,0.99999,filiculoides,SOCAL
